distribution,variant,compressed_bytes,uncompressed_bytes,ratio,q_DQ1_ms,q_DQ2_ms
monotone,v1,120362566,210026627,1.74,9.0,29.0
monotone,v2,45682000,210025251,4.6,9.0,37.0
monotone,v3,4702480,210025299,44.66,9.0,38.0
monotone,v4,967194,210025235,217.15,7.0,23.0
monotone,v5,962853,210025379,218.13,9.0,22.0
random,v1,200941156,210025315,1.05,9.0,23.0
random,v2,186541415,210025411,1.13,7.0,12.0
random,v3,163090712,210025315,1.29,13.0,86.0
random,v4,162740949,210025139,1.29,11.0,35.0
random,v5,162738122,210025411,1.29,11.0,39.0
sinus,v1,160644436,210025219,1.31,8.0,19.0
sinus,v2,112852780,210025395,1.86,9.0,34.0
sinus,v3,84654557,210025331,2.48,9.0,45.0
sinus,v4,76260727,210024931,2.75,10.0,37.0
sinus,v5,76256306,210025219,2.75,10.0,40.0
spiky,v1,80707599,130948640,1.62,7.0,18.0
spiky,v2,36942681,130949161,3.54,8.0,23.0
spiky,v3,4251060,130948862,30.8,8.0,31.0
spiky,v4,425048,130948890,308.08,7.0,12.0
spiky,v5,420763,130949111,311.22,7.0,15.0
