"query","distribution","variant","run","temp","query_duration_ms","read_rows","read_bytes","cpu_us"
"DQ1","monotone","v1","1","cold",20,614400,7372800,38899
"DQ1","monotone","v1","1","warm",8,614400,7372800,27643
"DQ1","monotone","v1","2","cold",8,614400,7372800,27538
"DQ1","monotone","v1","2","warm",8,614400,7372800,26321
"DQ1","monotone","v1","3","cold",9,614400,7372800,25097
"DQ1","monotone","v1","3","warm",7,614400,7372800,24920
"DQ1","monotone","v2","1","cold",9,614400,7372800,31384
"DQ1","monotone","v2","1","warm",10,614400,7372800,30943
"DQ1","monotone","v2","2","cold",9,614400,7372800,34903
"DQ1","monotone","v2","2","warm",11,614400,7372800,30652
"DQ1","monotone","v2","3","cold",9,614400,7372800,30885
"DQ1","monotone","v2","3","warm",9,614400,7372800,31507
"DQ1","monotone","v3","1","cold",9,614400,7372800,28153
"DQ1","monotone","v3","1","warm",9,614400,7372800,25208
"DQ1","monotone","v3","2","cold",10,614400,7372800,25717
"DQ1","monotone","v3","2","warm",9,614400,7372800,24386
"DQ1","monotone","v3","3","cold",8,614400,7372800,25288
"DQ1","monotone","v3","3","warm",8,614400,7372800,29400
"DQ1","monotone","v4","1","cold",9,614400,7372800,30765
"DQ1","monotone","v4","1","warm",7,614400,7372800,26466
"DQ1","monotone","v4","2","cold",7,614400,7372800,26110
"DQ1","monotone","v4","2","warm",10,614400,7372800,29061
"DQ1","monotone","v4","3","cold",7,614400,7372800,25738
"DQ1","monotone","v4","3","warm",9,614400,7372800,27466
"DQ1","monotone","v5","1","cold",9,614400,7372800,30760
"DQ1","monotone","v5","1","warm",10,614400,7372800,28478
"DQ1","monotone","v5","2","cold",8,614400,7372800,27913
"DQ1","monotone","v5","2","warm",7,614400,7372800,28312
"DQ1","monotone","v5","3","cold",9,614400,7372800,26940
"DQ1","monotone","v5","3","warm",8,614400,7372800,26755
"DQ1","random","v1","1","cold",9,614400,7372800,16147
"DQ1","random","v1","1","warm",9,614400,7372800,15215
"DQ1","random","v1","2","cold",11,614400,7372800,18174
"DQ1","random","v1","2","warm",8,614400,7372800,14847
"DQ1","random","v1","3","cold",8,614400,7372800,21808
"DQ1","random","v1","3","warm",9,614400,7372800,19327
"DQ1","random","v2","1","cold",7,614400,7372800,21564
"DQ1","random","v2","1","warm",8,614400,7372800,21701
"DQ1","random","v2","2","cold",7,614400,7372800,19246
"DQ1","random","v2","2","warm",7,614400,7372800,22655
"DQ1","random","v2","3","cold",8,614400,7372800,21760
"DQ1","random","v2","3","warm",8,614400,7372800,22297
"DQ1","random","v3","1","cold",11,614400,7372800,38487
"DQ1","random","v3","1","warm",9,614400,7372800,34488
"DQ1","random","v3","2","cold",14,614400,7372800,27218
"DQ1","random","v3","2","warm",14,614400,7372800,26391
"DQ1","random","v3","3","cold",13,614400,7372800,25105
"DQ1","random","v3","3","warm",14,614400,7372800,26771
"DQ1","random","v4","1","cold",14,614400,7372800,29899
"DQ1","random","v4","1","warm",10,614400,7372800,32707
"DQ1","random","v4","2","cold",11,614400,7372800,31602
"DQ1","random","v4","2","warm",10,614400,7372800,32075
"DQ1","random","v4","3","cold",11,614400,7372800,28527
"DQ1","random","v4","3","warm",14,614400,7372800,38963
"DQ1","random","v5","1","cold",10,614400,7372800,34883
"DQ1","random","v5","1","warm",9,614400,7372800,31050
"DQ1","random","v5","2","cold",12,614400,7372800,32029
"DQ1","random","v5","2","warm",10,614400,7372800,33457
"DQ1","sinus","v1","1","cold",7,614400,7372800,22852
"DQ1","sinus","v1","1","warm",7,614400,7372800,19583
"DQ1","sinus","v1","2","cold",8,614400,7372800,20993
"DQ1","sinus","v1","2","warm",9,614400,7372800,23373
"DQ1","sinus","v1","3","cold",8,614400,7372800,20884
"DQ1","sinus","v1","3","warm",8,614400,7372800,21358
"DQ1","sinus","v2","1","cold",9,614400,7372800,28785
"DQ1","sinus","v2","1","warm",10,614400,7372800,27439
"DQ1","sinus","v2","2","cold",9,614400,7372800,29818
"DQ1","sinus","v2","2","warm",7,614400,7372800,27208
"DQ1","sinus","v2","3","cold",8,614400,7372800,29250
"DQ1","sinus","v2","3","warm",7,614400,7372800,25799
"DQ1","sinus","v3","1","cold",8,614400,7372800,30909
"DQ1","sinus","v3","1","warm",8,614400,7372800,32631
"DQ1","sinus","v3","2","cold",9,614400,7372800,32695
"DQ1","sinus","v3","2","warm",9,614400,7372800,32754
"DQ1","sinus","v3","3","cold",9,614400,7372800,33427
"DQ1","sinus","v3","3","warm",9,614400,7372800,32120
