distribution,variant,column,compressed_bytes,uncompressed_bytes,ratio
"monotone","v1","timestamp",40172747,40000000,1
"monotone","v1","value",40061200,80000000,2
"monotone","v1","counter",40048825,80000000,2
"monotone","v1","tag",79794,10026627,125.66
"monotone","v2","timestamp",26414516,40000000,1.51
"monotone","v2","value",8992166,80000000,8.9
"monotone","v2","counter",10234096,80000000,7.82
"monotone","v2","tag",41222,10025251,243.2
"monotone","v3","timestamp",47651,40000000,839.44
"monotone","v3","value",702802,80000000,113.83
"monotone","v3","counter",3874486,80000000,20.65
"monotone","v3","tag",77541,10025299,129.29
"monotone","v4","timestamp",45825,40000000,872.89
"monotone","v4","value",787414,80000000,101.6
"monotone","v4","counter",92764,80000000,862.4
"monotone","v4","tag",41191,10025235,243.38
"monotone","v5","timestamp",45825,40000000,872.89
"monotone","v5","value",787414,80000000,101.6
"monotone","v5","counter",91554,80000000,873.8
"monotone","v5","tag",38060,10025379,263.41
"sinus","v1","timestamp",40172747,40000000,1
"sinus","v1","value",80345444,80000000,1
"sinus","v1","counter",40048825,80000000,2
"sinus","v1","tag",77420,10025219,129.49
"sinus","v2","timestamp",26414516,40000000,1.51
"sinus","v2","value",76162848,80000000,1.05
"sinus","v2","counter",10234096,80000000,7.82
"sinus","v2","tag",41320,10025395,242.63
"sinus","v3","timestamp",47651,40000000,839.44
"sinus","v3","value",80654902,80000000,0.99
"sinus","v3","counter",3874486,80000000,20.65
"sinus","v3","tag",77518,10025331,129.33
"sinus","v4","timestamp",45825,40000000,872.89
"sinus","v4","value",76080946,80000000,1.05
"sinus","v4","counter",92764,80000000,862.4
"sinus","v4","tag",41192,10024931,243.37
"sinus","v5","timestamp",45825,40000000,872.89
"sinus","v5","value",76080946,80000000,1.05
"sinus","v5","counter",91554,80000000,873.8
"sinus","v5","tag",37981,10025219,263.95
"spiky","v1","timestamp",40172747,40000000,1
"spiky","v1","value",409230,923485,2.26
"spiky","v1","counter",40048825,80000000,2
"spiky","v1","tag",76797,10025155,130.54
"spiky","v2","timestamp",26414516,40000000,1.51
"spiky","v2","value",252756,923670,3.65
"spiky","v2","counter",10234096,80000000,7.82
"spiky","v2","tag",41313,10025491,242.67
"spiky","v3","timestamp",47651,40000000,839.44
"spiky","v3","value",251382,923563,3.67
"spiky","v3","counter",3874486,80000000,20.65
"spiky","v3","tag",77541,10025299,129.29
"spiky","v4","timestamp",45825,40000000,872.89
"spiky","v4","value",245332,923575,3.76
"spiky","v4","counter",92764,80000000,862.4
"spiky","v4","tag",41127,10025315,243.76
"spiky","v5","timestamp",45825,40000000,872.89
"spiky","v5","value",245252,923652,3.77
"spiky","v5","counter",91554,80000000,873.8
"spiky","v5","tag",38132,10025459,262.91
"random","v1","timestamp",40172747,40000000,1
"random","v1","value",80345466,80000000,1
"random","v1","counter",80345466,80000000,1
"random","v1","tag",77477,10025315,129.4
"random","v2","timestamp",26414516,40000000,1.51
"random","v2","value",80042735,80000000,1
"random","v2","counter",80042735,80000000,1
"random","v2","tag",41429,10025411,241.99
"random","v3","timestamp",47651,40000000,839.44
"random","v3","value",82894675,80000000,0.97
"random","v3","counter",80070818,80000000,1
"random","v3","tag",77568,10025315,129.25
"random","v4","timestamp",45825,40000000,872.89
"random","v4","value",82583397,80000000,0.97
"random","v4","counter",80070818,80000000,1
"random","v4","tag",40909,10025139,245.06
"random","v5","timestamp",45825,40000000,872.89
"random","v5","value",82583397,80000000,0.97
"random","v5","counter",80070818,80000000,1
"random","v5","tag",38082,10025411,263.26
