variant,run,rows,duration_s,rows_per_s
v1_default,1,10000000,1.232,8116883
v1_default,2,10000000,1.184,8445945
v1_default,3,10000000,1.317,7593014
v2_zstd,1,10000000,1.656,6038647
v2_zstd,2,10000000,1.670,5988023
v2_zstd,3,10000000,1.669,5991611
v3_percolumn,1,10000000,1.518,6587615
v3_percolumn,2,10000000,1.689,5920663
v3_percolumn,3,10000000,1.538,6501950
v4_percolumn_zstd,1,10000000,1.540,6493506
v4_percolumn_zstd,2,10000000,1.539,6497725
v4_percolumn_zstd,3,10000000,1.523,6565988
v5_aggressive,1,10000000,1.588,6297229
v5_aggressive,2,10000000,1.482,6747638
v5_aggressive,3,10000000,1.537,6506180
