"query","variant","run","temp","query_duration_ms","read_rows","read_bytes","cpu_us"
"Q1","v1_default","1","cold",57,27598848,331074560,526076
"Q1","v1_default","1","warm",53,27598848,331074560,483226
"Q1","v1_default","2","cold",62,27598848,331074560,528977
"Q1","v1_default","2","warm",49,27598848,331074560,486217
"Q1","v1_default","3","cold",50,27598848,331074560,497423
"Q1","v1_default","3","warm",53,27598848,331074560,492294
"Q1","v1_default","4","cold",195,27598848,331074560,1084158
"Q1","v1_default","4","warm",53,27598848,331074560,466268
"Q1","v1_default","5","cold",50,27598848,331074560,461230
"Q1","v1_default","5","warm",64,27598848,331074560,546289
"Q1","v2_zstd","1","cold",92,27598848,331074560,912638
"Q1","v2_zstd","1","warm",79,27598848,331074560,870798
"Q1","v2_zstd","2","cold",85,27598848,331074560,847682
"Q1","v2_zstd","2","warm",96,27598848,331074560,853127
"Q1","v2_zstd","3","cold",77,27598848,331074560,818699
"Q1","v2_zstd","3","warm",84,27598848,331074560,841185
"Q1","v2_zstd","4","cold",87,27598848,331074560,896064
"Q1","v2_zstd","4","warm",74,27598848,331074560,841547
"Q1","v2_zstd","5","cold",324,27598848,331074560,1300535
"Q1","v2_zstd","5","warm",92,27598848,331074560,884331
"Q1","v3_percolumn","1","cold",107,27598848,331074560,1048952
"Q1","v3_percolumn","1","warm",99,27598848,331074560,1076138
"Q1","v3_percolumn","2","cold",94,27598848,331074560,1004585
"Q1","v3_percolumn","2","warm",108,27598848,331074560,1128648
"Q1","v3_percolumn","3","cold",94,27598848,331074560,1061728
"Q1","v3_percolumn","3","warm",97,27598848,331074560,1051743
"Q1","v3_percolumn","4","cold",92,27598848,331074560,959355
"Q1","v3_percolumn","4","warm",119,27598848,331074560,1111980
"Q1","v3_percolumn","5","cold",155,27598848,331074560,1346485
"Q1","v3_percolumn","5","warm",94,27598848,331074560,980279
"Q1","v4_percolumn_zstd","1","cold",110,27598848,331074560,1234016
"Q1","v4_percolumn_zstd","1","warm",116,27598848,331074560,1328182
"Q1","v4_percolumn_zstd","2","cold",119,27598848,331074560,1190997
"Q1","v4_percolumn_zstd","2","warm",127,27598848,331074560,1324449
"Q1","v4_percolumn_zstd","3","cold",130,27598848,331074560,1202932
"Q1","v4_percolumn_zstd","3","warm",126,27598848,331074560,1316273
"Q1","v4_percolumn_zstd","4","cold",188,27598848,331074560,1508929
"Q1","v4_percolumn_zstd","4","warm",116,27598848,331074560,1196252
"Q1","v4_percolumn_zstd","5","cold",113,27598848,331074560,1234339
"Q1","v4_percolumn_zstd","5","warm",119,27598848,331074560,1250777
"Q1","v5_aggressive","1","cold",125,27598848,331074560,1283605
"Q1","v5_aggressive","1","warm",115,27598848,331074560,1260919
"Q1","v5_aggressive","2","cold",115,27598848,331074560,1206767
"Q1","v5_aggressive","2","warm",123,27598848,331074560,1373125
"Q1","v5_aggressive","3","cold",114,27598848,331074560,1279725
"Q1","v5_aggressive","3","warm",119,27598848,331074560,1261785
"Q1","v5_aggressive","4","cold",123,27598848,331074560,1312736
"Q1","v5_aggressive","4","warm",103,27598848,331074560,1246065
"Q1","v5_aggressive","5","cold",115,27598848,331074560,1328244
"Q1","v5_aggressive","5","warm",126,27598848,331074560,1244600
"Q2","v1_default","1","cold",334,100000000,900000000,2730775
"Q2","v1_default","1","warm",135,100000000,900000000,1660860
"Q2","v1_default","2","cold",141,100000000,900000000,1692470
"Q2","v1_default","2","warm",138,100000000,900000000,1659371
"Q2","v1_default","3","cold",148,100000000,900000000,1753688
"Q2","v1_default","3","warm",146,100000000,900000000,1571586
"Q2","v1_default","4","cold",137,100000000,900000000,1678271
"Q2","v1_default","4","warm",138,100000000,900000000,1630874
"Q2","v1_default","5","cold",123,100000000,900000000,1646819
"Q2","v1_default","5","warm",128,100000000,900000000,1631381
"Q2","v2_zstd","1","cold",263,100000000,900000000,2760624
"Q2","v2_zstd","1","warm",204,100000000,900000000,2282591
"Q2","v2_zstd","2","cold",185,100000000,900000000,2307307
"Q2","v2_zstd","2","warm",179,100000000,900000000,2300764
"Q2","v2_zstd","3","cold",188,100000000,900000000,2219691
"Q2","v2_zstd","3","warm",196,100000000,900000000,2239850
"Q2","v2_zstd","4","cold",192,100000000,900000000,2345073
"Q2","v2_zstd","4","warm",188,100000000,900000000,2274666
"Q2","v2_zstd","5","cold",203,100000000,900000000,2209107
"Q2","v2_zstd","5","warm",190,100000000,900000000,2348346
"Q2","v3_percolumn","1","cold",247,100000000,900000000,3097090
"Q2","v3_percolumn","1","warm",257,100000000,900000000,3168376
"Q2","v3_percolumn","2","cold",245,100000000,900000000,3035254
"Q2","v3_percolumn","2","warm",284,100000000,900000000,3132164
"Q2","v3_percolumn","3","cold",263,100000000,900000000,2935666
"Q2","v3_percolumn","3","warm",222,100000000,900000000,2893382
"Q2","v3_percolumn","4","cold",246,100000000,900000000,3058369
"Q2","v3_percolumn","4","warm",253,100000000,900000000,2962021
"Q2","v3_percolumn","5","cold",250,100000000,900000000,3147097
"Q2","v3_percolumn","5","warm",236,100000000,900000000,2934523
"Q2","v4_percolumn_zstd","1","cold",90,100000000,900000000,1190917
"Q2","v4_percolumn_zstd","1","warm",93,100000000,900000000,1199011
"Q2","v4_percolumn_zstd","2","cold",110,100000000,900000000,1175126
"Q2","v4_percolumn_zstd","2","warm",102,100000000,900000000,1159225
"Q2","v4_percolumn_zstd","3","cold",104,100000000,900000000,1252614
"Q2","v4_percolumn_zstd","3","warm",106,100000000,900000000,1205657
"Q2","v4_percolumn_zstd","4","cold",99,100000000,900000000,1186538
"Q2","v4_percolumn_zstd","4","warm",109,100000000,900000000,1273640
"Q2","v4_percolumn_zstd","5","cold",100,100000000,900000000,1207416
"Q2","v4_percolumn_zstd","5","warm",113,100000000,900000000,1250198
"Q2","v5_aggressive","1","cold",111,100000000,900000000,1305680
"Q2","v5_aggressive","1","warm",110,100000000,900000000,1248660
"Q2","v5_aggressive","2","cold",101,100000000,900000000,1196055
"Q2","v5_aggressive","2","warm",120,100000000,900000000,1184178
"Q2","v5_aggressive","3","cold",104,100000000,900000000,1212535
"Q2","v5_aggressive","3","warm",113,100000000,900000000,1258232
"Q2","v5_aggressive","4","cold",103,100000000,900000000,1192438
"Q2","v5_aggressive","4","warm",121,100000000,900000000,1228294
"Q2","v5_aggressive","5","cold",106,100000000,900000000,1169750
"Q2","v5_aggressive","5","warm",113,100000000,900000000,1246807
"Q3","v1_default","1","cold",36,20004864,340082688,358151
"Q3","v1_default","1","warm",39,20004864,340082688,351692
"Q3","v1_default","2","cold",86,20004864,340082688,591846
"Q3","v1_default","2","warm",40,20004864,340082688,361164
"Q3","v1_default","3","cold",37,20004864,340082688,348776
"Q3","v1_default","3","warm",38,20004864,340082688,369269
"Q3","v1_default","4","cold",38,20004864,340082688,383674
"Q3","v1_default","4","warm",36,20004864,340082688,368555
"Q3","v1_default","5","cold",34,20004864,340082688,342772
"Q3","v1_default","5","warm",35,20004864,340082688,353304
"Q3","v2_zstd","1","cold",58,20004864,340082688,655131
"Q3","v2_zstd","1","warm",62,20004864,340082688,690792
"Q3","v2_zstd","2","cold",61,20004864,340082688,666361
"Q3","v2_zstd","2","warm",66,20004864,340082688,724597
"Q3","v2_zstd","3","cold",62,20004864,340082688,691533
"Q3","v2_zstd","3","warm",62,20004864,340082688,690554
"Q3","v2_zstd","4","cold",73,20004864,340082688,705718
"Q3","v2_zstd","4","warm",68,20004864,340082688,759926
"Q3","v2_zstd","5","cold",150,20004864,340082688,948472
"Q3","v2_zstd","5","warm",69,20004864,340082688,659500
"Q3","v3_percolumn","1","cold",84,20004864,340082688,930022
"Q3","v3_percolumn","1","warm",95,20004864,340082688,1019236
"Q3","v3_percolumn","2","cold",154,20004864,340082688,1207668
"Q3","v3_percolumn","2","warm",95,20004864,340082688,988587
"Q3","v3_percolumn","3","cold",93,20004864,340082688,929669
"Q3","v3_percolumn","3","warm",100,20004864,340082688,920714
"Q3","v3_percolumn","4","cold",89,20004864,340082688,984248
"Q3","v3_percolumn","4","warm",80,20004864,340082688,890066
"Q3","v3_percolumn","5","cold",97,20004864,340082688,964595
"Q3","v3_percolumn","5","warm",94,20004864,340082688,907374
"Q3","v4_percolumn_zstd","1","cold",91,20004864,340082688,897912
"Q3","v4_percolumn_zstd","1","warm",75,20004864,340082688,792412
"Q3","v4_percolumn_zstd","2","cold",89,20004864,340082688,927994
"Q3","v4_percolumn_zstd","2","warm",75,20004864,340082688,812930
"Q3","v4_percolumn_zstd","3","cold",86,20004864,340082688,883435
"Q3","v4_percolumn_zstd","3","warm",77,20004864,340082688,890739
"Q3","v4_percolumn_zstd","4","cold",75,20004864,340082688,814318
"Q3","v4_percolumn_zstd","4","warm",80,20004864,340082688,789193
