size,variant,compressed_bytes,uncompressed_bytes,ratio,q_Q1_ms,q_Q2_ms,q_Q3_ms,q_Q4_ms,q_Q5_ms,q_Q6_ms,cpu_Q1_us,cpu_Q2_us,cpu_Q3_us,cpu_Q4_us,cpu_Q5_us,cpu_Q6_us,ingest_rows_per_s
100m,v1_default,1374475701,2300920171,1.67,7.0,18.0,108.0,4.0,55.0,771.0,24386.0,146676.0,1638891.0,4200.0,554285.0,11947817.0,8453085.0
100m,v2_zstd,864746213,2301101755,2.66,8.0,27.0,160.0,4.0,71.0,865.0,33271.0,249354.0,2389666.0,4295.0,754796.0,12796605.0,6048874.0
100m,v3_percolumn,673556288,2301101563,3.42,9.0,31.0,241.0,4.0,86.0,970.0,37226.0,283990.0,3243664.0,4018.0,937709.0,13929498.0,6531252.0
100m,v4_percolumn_zstd,543404191,2301101419,4.23,10.0,35.0,88.0,4.0,99.0,948.0,42380.0,348403.0,1231831.0,4298.0,1117400.0,13761761.0,6302785.0
100m,v5_aggressive,543380680,2301101035,4.23,10.0,37.0,99.0,4.0,107.0,1008.0,38696.0,344648.0,1205363.0,4232.0,1091106.0,13292420.0,6205013.0
10m,v1_default,137465275,230099179,1.67,4.0,4.0,18.0,2.0,13.0,102.0,4601.0,4827.0,188804.0,2170.0,73305.0,1263536.0,8143322.0
10m,v2_zstd,86649273,230099803,2.66,3.0,4.0,23.0,2.0,16.0,109.0,4299.0,5033.0,254399.0,2520.0,97156.0,1388306.0,5858230.0
10m,v3_percolumn,67375837,230098171,3.42,4.0,4.0,28.0,2.0,17.0,130.0,4399.0,4521.0,320926.0,2071.0,117504.0,1580823.0,6218905.0
10m,v4_percolumn_zstd,54355388,230096923,4.23,4.0,4.0,14.0,2.0,19.0,113.0,4794.0,4610.0,137882.0,2190.0,138379.0,1418459.0,5868544.0
10m,v5_aggressive,54353149,230103931,4.23,3.0,3.0,16.0,2.0,19.0,119.0,4566.0,4099.0,140613.0,2162.0,141380.0,1440674.0,6013229.0
1m,v1_default,13760603,23006443,1.67,4.0,4.0,8.0,2.0,8.0,36.0,4538.0,4649.0,31349.0,2140.0,18308.0,196146.0,5524861.0
1m,v2_zstd,8769854,23006443,2.62,4.0,3.0,8.0,2.0,8.0,37.0,4408.0,4274.0,39273.0,2275.0,20963.0,199899.0,4347826.0
1m,v3_percolumn,6752239,23006443,3.41,4.0,4.0,9.0,2.0,9.0,24.0,5442.0,4386.0,44416.0,2470.0,25004.0,175371.0,4524886.0
1m,v4_percolumn_zstd,5458412,23006443,4.21,4.0,3.0,8.0,2.0,10.0,26.0,4764.0,4307.0,26179.0,2000.0,27904.0,175458.0,4784688.0
1m,v5_aggressive,5457902,23006443,4.22,4.0,4.0,6.0,2.0,10.0,25.0,4281.0,4232.0,25239.0,2491.0,25589.0,177335.0,4504504.0
500m,v1_default,6872361241,11505312219,1.67,8.0,21.0,603.0,4.0,262.0,4195.0,26319.0,161826.0,8340140.0,3956.0,2511381.0,55252361.0,
500m,v2_zstd,4322638363,11505624171,2.66,9.0,27.0,783.0,4.0,315.0,4196.0,33801.0,240006.0,10778507.0,4059.0,3624496.0,61223446.0,
500m,v3_percolumn,3367452470,11504141866,3.42,10.0,33.0,960.0,4.0,332.0,4762.0,42337.0,297725.0,14500996.0,4282.0,4390359.0,70439611.0,
500m,v4_percolumn_zstd,2716676662,11504234406,4.23,11.0,39.0,400.0,4.0,398.0,4412.0,49100.0,372247.0,5959485.0,3916.0,5302942.0,64426576.0,
500m,v5_aggressive,2716607069,11503805895,4.23,10.0,34.0,375.0,4.0,379.0,4082.5,49341.0,348462.0,5798757.0,4512.0,5177935.0,64132787.0,
