size,variant,run,rows,duration_s,rows_per_s
1m,v1_default,1,1000000,.200,5000000
1m,v1_default,2,1000000,.178,5617977
1m,v1_default,3,1000000,.181,5524861
1m,v2_zstd,1,1000000,.234,4273504
1m,v2_zstd,2,1000000,.230,4347826
1m,v2_zstd,3,1000000,.222,4504504
1m,v3_percolumn,1,1000000,.226,4424778
1m,v3_percolumn,2,1000000,.221,4524886
1m,v3_percolumn,3,1000000,.219,4566210
1m,v4_percolumn_zstd,1,1000000,.209,4784688
1m,v4_percolumn_zstd,2,1000000,.205,4878048
1m,v4_percolumn_zstd,3,1000000,.224,4464285
1m,v5_aggressive,1,1000000,.219,4566210
1m,v5_aggressive,2,1000000,.235,4255319
1m,v5_aggressive,3,1000000,.222,4504504
10m,v1_default,1,10000000,1.266,7898894
10m,v1_default,2,10000000,1.187,8424599
10m,v1_default,3,10000000,1.228,8143322
10m,v2_zstd,1,10000000,1.707,5858230
10m,v2_zstd,2,10000000,1.692,5910165
10m,v2_zstd,3,10000000,1.721,5810575
10m,v3_percolumn,1,10000000,1.563,6397952
10m,v3_percolumn,2,10000000,1.618,6180469
10m,v3_percolumn,3,10000000,1.608,6218905
10m,v4_percolumn_zstd,1,10000000,1.704,5868544
10m,v4_percolumn_zstd,2,10000000,1.641,6093845
10m,v4_percolumn_zstd,3,10000000,1.707,5858230
10m,v5_aggressive,1,10000000,1.677,5963029
10m,v5_aggressive,2,10000000,1.663,6013229
10m,v5_aggressive,3,10000000,1.641,6093845
100m,v1_default,1,100000000,12.150,8230452
100m,v1_default,2,100000000,11.830,8453085
100m,v1_default,3,100000000,11.736,8520790
100m,v2_zstd,1,100000000,16.509,6057302
100m,v2_zstd,2,100000000,16.532,6048874
100m,v2_zstd,3,100000000,16.915,5911912
100m,v3_percolumn,1,100000000,15.311,6531252
100m,v3_percolumn,2,100000000,15.408,6490134
100m,v3_percolumn,3,100000000,15.269,6549217
100m,v4_percolumn_zstd,1,100000000,15.866,6302785
100m,v4_percolumn_zstd,2,100000000,16.061,6226262
100m,v4_percolumn_zstd,3,100000000,15.803,6327912
100m,v5_aggressive,1,100000000,16.104,6209637
100m,v5_aggressive,2,100000000,16.116,6205013
100m,v5_aggressive,3,100000000,16.191,6176270
