"query","size","variant","run","temp","query_duration_ms","read_rows","read_bytes","cpu_us"
"Q1","100m","v1_default","1","cold",24,843776,5224784,66370
"Q1","100m","v1_default","1","warm",9,843776,5224784,30246
"Q1","100m","v1_default","2","cold",7,843776,5224784,21933
"Q1","100m","v1_default","2","warm",7,843776,5224784,23610
"Q1","100m","v1_default","3","cold",8,843776,5224784,24564
"Q1","100m","v1_default","3","warm",7,843776,5224784,22969
"Q1","100m","v1_default","4","cold",6,843776,5224784,24301
"Q1","100m","v1_default","4","warm",6,843776,5224784,22695
"Q1","100m","v1_default","5","cold",7,843776,5224784,24386
"Q1","100m","v1_default","5","warm",8,843776,5224784,24195
"Q1","100m","v2_zstd","1","cold",21,843776,5224784,63940
"Q1","100m","v2_zstd","1","warm",9,843776,5224784,33842
"Q1","100m","v2_zstd","2","cold",8,843776,5224784,33011
"Q1","100m","v2_zstd","2","warm",7,843776,5224784,31828
"Q1","100m","v2_zstd","3","cold",7,843776,5224784,33271
"Q1","100m","v2_zstd","3","warm",9,843776,5224784,33449
"Q1","100m","v2_zstd","4","cold",8,843776,5224784,33214
"Q1","100m","v2_zstd","4","warm",9,843776,5224784,32985
"Q1","100m","v2_zstd","5","cold",9,843776,5224784,35717
"Q1","100m","v2_zstd","5","warm",9,843776,5224784,33997
"Q1","100m","v3_percolumn","1","cold",16,843776,5224784,53191
"Q1","100m","v3_percolumn","1","warm",10,843776,5224784,37547
"Q1","100m","v3_percolumn","2","cold",8,843776,5224784,37226
"Q1","100m","v3_percolumn","2","warm",8,843776,5224784,32672
"Q1","100m","v3_percolumn","3","cold",9,843776,5224784,35701
"Q1","100m","v3_percolumn","3","warm",8,843776,5224784,34530
"Q1","100m","v3_percolumn","4","cold",9,843776,5224784,37386
"Q1","100m","v3_percolumn","4","warm",10,843776,5224784,37502
"Q1","100m","v3_percolumn","5","cold",10,843776,5224784,36860
"Q1","100m","v3_percolumn","5","warm",9,843776,5224784,36224
"Q1","100m","v4_percolumn_zstd","1","cold",17,843776,5224784,56902
"Q1","100m","v4_percolumn_zstd","1","warm",8,843776,5224784,39648
"Q1","100m","v4_percolumn_zstd","2","cold",10,843776,5224784,42380
"Q1","100m","v4_percolumn_zstd","2","warm",9,843776,5224784,39434
"Q1","100m","v4_percolumn_zstd","3","cold",8,843776,5224784,39546
"Q1","100m","v4_percolumn_zstd","3","warm",10,843776,5224784,40666
"Q1","100m","v4_percolumn_zstd","4","cold",9,843776,5224784,38233
"Q1","100m","v4_percolumn_zstd","4","warm",9,843776,5224784,37529
"Q1","100m","v4_percolumn_zstd","5","cold",13,843776,5224784,52983
"Q1","100m","v4_percolumn_zstd","5","warm",9,843776,5224784,43957
"Q1","100m","v5_aggressive","1","cold",18,843776,5224784,59440
"Q1","100m","v5_aggressive","1","warm",8,843776,5224784,39370
"Q1","100m","v5_aggressive","2","cold",10,843776,5224784,34987
"Q1","100m","v5_aggressive","2","warm",10,843776,5224784,37773
"Q1","100m","v5_aggressive","3","cold",10,843776,5224784,43360
"Q1","100m","v5_aggressive","3","warm",8,843776,5224784,39066
"Q1","100m","v5_aggressive","4","cold",8,843776,5224784,37536
"Q1","100m","v5_aggressive","4","warm",10,843776,5224784,42259
"Q1","100m","v5_aggressive","5","cold",11,843776,5224784,38696
"Q1","100m","v5_aggressive","5","warm",9,843776,5224784,40264
"Q1","10m","v1_default","1","cold",11,401408,1605632,18413
"Q1","10m","v1_default","1","warm",3,0,0,4324
"Q1","10m","v1_default","2","cold",3,0,0,4140
"Q1","10m","v1_default","2","warm",3,0,0,3884
"Q1","10m","v1_default","3","cold",4,0,0,4601
"Q1","10m","v1_default","3","warm",4,0,0,4384
"Q1","10m","v1_default","4","cold",3,0,0,4083
"Q1","10m","v1_default","4","warm",4,0,0,4603
"Q1","10m","v1_default","5","cold",4,0,0,4621
"Q1","10m","v1_default","5","warm",4,0,0,4480
"Q1","10m","v2_zstd","1","cold",14,401408,1605632,23275
"Q1","10m","v2_zstd","1","warm",4,0,0,4814
"Q1","10m","v2_zstd","2","cold",4,0,0,4723
"Q1","10m","v2_zstd","2","warm",3,0,0,4088
"Q1","10m","v2_zstd","3","cold",3,0,0,4299
"Q1","10m","v2_zstd","3","warm",4,0,0,5059
"Q1","10m","v2_zstd","4","cold",3,0,0,4208
"Q1","10m","v2_zstd","4","warm",3,0,0,4385
"Q1","10m","v2_zstd","5","cold",3,0,0,3893
"Q1","10m","v2_zstd","5","warm",4,0,0,4351
"Q1","10m","v3_percolumn","1","cold",8,401408,1605632,15555
"Q1","10m","v3_percolumn","1","warm",3,0,0,4112
"Q1","10m","v3_percolumn","2","cold",3,0,0,3995
"Q1","10m","v3_percolumn","2","warm",4,0,0,4099
"Q1","10m","v3_percolumn","3","cold",3,0,0,4289
"Q1","10m","v3_percolumn","3","warm",3,0,0,4326
"Q1","10m","v3_percolumn","4","cold",4,0,0,5255
"Q1","10m","v3_percolumn","4","warm",5,0,0,5305
"Q1","10m","v3_percolumn","5","cold",4,0,0,4399
"Q1","10m","v3_percolumn","5","warm",3,0,0,4608
"Q1","10m","v4_percolumn_zstd","1","cold",9,401408,1605632,17015
"Q1","10m","v4_percolumn_zstd","1","warm",4,0,0,4655
"Q1","10m","v4_percolumn_zstd","2","cold",3,0,0,4266
"Q1","10m","v4_percolumn_zstd","2","warm",3,0,0,4401
"Q1","10m","v4_percolumn_zstd","3","cold",3,0,0,4000
"Q1","10m","v4_percolumn_zstd","3","warm",4,0,0,4522
"Q1","10m","v4_percolumn_zstd","4","cold",4,0,0,4794
"Q1","10m","v4_percolumn_zstd","4","warm",3,0,0,4687
"Q1","10m","v4_percolumn_zstd","5","cold",5,0,0,5296
"Q1","10m","v4_percolumn_zstd","5","warm",3,0,0,4391
"Q1","10m","v5_aggressive","1","cold",8,401408,1605632,14951
"Q1","10m","v5_aggressive","1","warm",3,0,0,3626
"Q1","10m","v5_aggressive","2","cold",3,0,0,4478
"Q1","10m","v5_aggressive","2","warm",3,0,0,3921
"Q1","10m","v5_aggressive","3","cold",4,0,0,4609
"Q1","10m","v5_aggressive","3","warm",4,0,0,4414
"Q1","10m","v5_aggressive","4","cold",3,0,0,3855
"Q1","10m","v5_aggressive","4","warm",3,0,0,4285
"Q1","10m","v5_aggressive","5","cold",3,0,0,4566
"Q1","10m","v5_aggressive","5","warm",4,0,0,4626
"Q1","1m","v1_default","1","cold",11,401408,1605632,18468
"Q1","1m","v1_default","1","warm",3,0,0,3967
"Q1","1m","v1_default","2","cold",4,0,0,4469
"Q1","1m","v1_default","2","warm",3,0,0,4195
"Q1","1m","v1_default","3","cold",4,0,0,4827
"Q1","1m","v1_default","3","warm",3,0,0,4527
"Q1","1m","v1_default","4","cold",4,0,0,4538
"Q1","1m","v1_default","4","warm",4,0,0,5596
"Q1","1m","v1_default","5","cold",3,0,0,3865
"Q1","1m","v1_default","5","warm",3,0,0,4155
"Q1","1m","v2_zstd","1","cold",12,401408,1605632,21430
"Q1","1m","v2_zstd","1","warm",4,0,0,4932
"Q1","1m","v2_zstd","2","cold",3,0,0,4407
"Q1","1m","v2_zstd","2","warm",4,0,0,5223
"Q1","1m","v2_zstd","3","cold",4,0,0,4408
"Q1","1m","v2_zstd","3","warm",3,0,0,3860
"Q1","1m","v2_zstd","4","cold",3,0,0,4048
"Q1","1m","v2_zstd","4","warm",4,0,0,3876
"Q1","1m","v2_zstd","5","cold",4,0,0,4706
"Q1","1m","v2_zstd","5","warm",4,0,0,4865
"Q1","1m","v3_percolumn","1","cold",7,401408,1605632,13953
"Q1","1m","v3_percolumn","1","warm",4,0,0,5520
"Q1","1m","v3_percolumn","2","cold",4,0,0,4244
"Q1","1m","v3_percolumn","2","warm",3,0,0,4207
"Q1","1m","v3_percolumn","3","cold",4,0,0,4771
"Q1","1m","v3_percolumn","3","warm",4,0,0,4653
"Q1","1m","v3_percolumn","4","cold",5,0,0,5701
"Q1","1m","v3_percolumn","4","warm",4,0,0,4939
"Q1","1m","v3_percolumn","5","cold",4,0,0,5442
"Q1","1m","v3_percolumn","5","warm",3,0,0,4150
"Q1","1m","v4_percolumn_zstd","1","cold",9,401408,1605632,16110
"Q1","1m","v4_percolumn_zstd","1","warm",4,0,0,4995
"Q1","1m","v4_percolumn_zstd","2","cold",4,0,0,4476
"Q1","1m","v4_percolumn_zstd","2","warm",4,0,0,4918
"Q1","1m","v4_percolumn_zstd","3","cold",3,0,0,3917
"Q1","1m","v4_percolumn_zstd","3","warm",4,0,0,4791
"Q1","1m","v4_percolumn_zstd","4","cold",4,0,0,5300
"Q1","1m","v4_percolumn_zstd","4","warm",3,0,0,4140
"Q1","1m","v4_percolumn_zstd","5","cold",4,0,0,4764
"Q1","1m","v4_percolumn_zstd","5","warm",3,0,0,4191
"Q1","1m","v5_aggressive","1","cold",6,401408,1605632,12769
"Q1","1m","v5_aggressive","1","warm",5,0,0,5216
"Q1","1m","v5_aggressive","2","cold",3,0,0,4067
"Q1","1m","v5_aggressive","2","warm",3,0,0,4461
"Q1","1m","v5_aggressive","3","cold",4,0,0,4281
"Q1","1m","v5_aggressive","3","warm",4,0,0,4505
"Q1","1m","v5_aggressive","4","cold",5,0,0,4758
"Q1","1m","v5_aggressive","4","warm",3,0,0,4174
"Q1","1m","v5_aggressive","5","cold",3,0,0,3967
"Q1","1m","v5_aggressive","5","warm",4,0,0,4748
"Q1","500m","v1_default","1","cold",24,860160,5359952,54480
"Q1","500m","v1_default","1","warm",8,860160,5359952,22487
"Q1","500m","v1_default","2","cold",7,860160,5359952,26319
"Q1","500m","v1_default","2","warm",8,860160,5359952,25162
"Q1","500m","v1_default","3","cold",8,860160,5359952,24022
"Q1","500m","v1_default","3","warm",7,860160,5359952,22160
"Q1","500m","v1_default","4","cold",7,860160,5359952,25226
"Q1","500m","v1_default","4","warm",8,860160,5359952,24445
"Q1","500m","v1_default","5","cold",11,860160,5359952,31049
"Q1","500m","v1_default","5","warm",7,860160,5359952,23142
"Q1","500m","v2_zstd","1","cold",22,860160,5359952,62460
"Q1","500m","v2_zstd","1","warm",9,860160,5359952,33384
"Q1","500m","v2_zstd","2","cold",9,860160,5359952,33801
"Q1","500m","v2_zstd","2","warm",9,860160,5359952,32190
"Q1","500m","v2_zstd","3","cold",8,860160,5359952,31745
"Q1","500m","v2_zstd","3","warm",9,860160,5359952,33648
"Q1","500m","v2_zstd","4","cold",9,860160,5359952,33921
"Q1","500m","v2_zstd","4","warm",9,860160,5359952,34216
"Q1","500m","v2_zstd","5","cold",8,860160,5359952,32755
"Q1","500m","v2_zstd","5","warm",8,860160,5359952,31359
"Q1","500m","v3_percolumn","1","cold",23,1507328,8070208,82836
"Q1","500m","v3_percolumn","1","warm",10,1220608,6972776,41962
"Q1","500m","v3_percolumn","2","cold",10,1220608,6972776,42337
"Q1","500m","v3_percolumn","2","warm",9,1220608,6972776,39548
"Q1","500m","v3_percolumn","3","cold",9,1220608,6972776,40748
"Q1","500m","v3_percolumn","3","warm",10,1220608,6972776,41463
"Q1","500m","v3_percolumn","4","cold",11,1220608,6972776,42358
"Q1","500m","v3_percolumn","4","warm",10,1220608,6972776,41889
"Q1","500m","v3_percolumn","5","cold",9,1220608,6972776,41307
"Q1","500m","v3_percolumn","5","warm",10,1220608,6972776,43411
"Q1","500m","v4_percolumn_zstd","1","cold",23,1499136,7976384,97190
"Q1","500m","v4_percolumn_zstd","1","warm",20,1335296,7321024,50723
"Q1","500m","v4_percolumn_zstd","2","cold",11,1335296,7321024,52457
"Q1","500m","v4_percolumn_zstd","2","warm",10,1335296,7321024,48755
"Q1","500m","v4_percolumn_zstd","3","cold",11,1335296,7321024,44946
"Q1","500m","v4_percolumn_zstd","3","warm",9,1335296,7321024,48732
"Q1","500m","v4_percolumn_zstd","4","cold",10,1335296,7321024,46005
"Q1","500m","v4_percolumn_zstd","4","warm",9,1335296,7321024,48750
"Q1","500m","v4_percolumn_zstd","5","cold",10,1335296,7321024,49100
"Q1","500m","v4_percolumn_zstd","5","warm",9,1335296,7321024,47873
"Q1","500m","v5_aggressive","1","cold",30,1703936,8747592,85932
"Q1","500m","v5_aggressive","1","warm",11,1392640,7502408,53208
