size,variant,column,compressed_bytes,uncompressed_bytes,ratio
"100m","v1_default","timestamp",401727295,400000000,1
"100m","v1_default","metric_name",482493,100306623,207.89
"100m","v1_default","value",551243705,800000000,1.45
"100m","v1_default","host",483543,100306951,207.44
"100m","v1_default","region",485781,100306597,206.49
"100m","v1_default","counter",420052884,800000000,1.9
"100m","v2_zstd","timestamp",285394799,400000000,1.4
"100m","v2_zstd","metric_name",110481,100367151,908.46
"100m","v2_zstd","value",440441744,800000000,1.82
"100m","v2_zstd","host",111780,100367479,897.9
"100m","v2_zstd","region",115568,100367125,868.47
"100m","v2_zstd","counter",138571841,800000000,5.77
"100m","v3_percolumn","timestamp",476874,400000000,838.8
"100m","v3_percolumn","metric_name",490538,100367087,204.61
"100m","v3_percolumn","value",632873127,800000000,1.26
"100m","v3_percolumn","host",491850,100367415,204.06
"100m","v3_percolumn","region",494587,100367061,202.93
"100m","v3_percolumn","counter",38729312,800000000,20.66
"100m","v4_percolumn_zstd","timestamp",458532,400000000,872.35
"100m","v4_percolumn_zstd","metric_name",110578,100367039,907.66
"100m","v4_percolumn_zstd","value",541658691,800000000,1.48
"100m","v4_percolumn_zstd","host",111812,100367367,897.64
"100m","v4_percolumn_zstd","region",115789,100367013,866.81
"100m","v4_percolumn_zstd","counter",948789,800000000,843.18
"100m","v5_aggressive","timestamp",458532,400000000,872.35
"100m","v5_aggressive","metric_name",105360,100366911,952.61
"100m","v5_aggressive","value",541658691,800000000,1.48
"100m","v5_aggressive","host",106144,100367239,945.58
"100m","v5_aggressive","region",109280,100366885,918.44
"100m","v5_aggressive","counter",942673,800000000,848.65
"1m","v1_default","timestamp",4017298,4000000,1
"1m","v1_default","metric_name",4894,1002047,204.75
"1m","v1_default","value",5514111,8000000,1.45
"1m","v1_default","host",5706,1002375,175.67
"1m","v1_default","region",5483,1002021,182.75
"1m","v1_default","counter",4213111,8000000,1.9
"1m","v2_zstd","timestamp",2849879,4000000,1.4
"1m","v2_zstd","metric_name",1089,1002047,920.15
"1m","v2_zstd","value",4411173,8000000,1.81
"1m","v2_zstd","host",1818,1002375,551.36
"1m","v2_zstd","region",1778,1002021,563.57
"1m","v2_zstd","counter",1504117,8000000,5.32
"1m","v3_percolumn","timestamp",5590,4000000,715.56
"1m","v3_percolumn","metric_name",4894,1002047,204.75
"1m","v3_percolumn","value",6341923,8000000,1.26
"1m","v3_percolumn","host",5706,1002375,175.67
"1m","v3_percolumn","region",5483,1002021,182.75
"1m","v3_percolumn","counter",388643,8000000,20.58
"1m","v4_percolumn_zstd","timestamp",5381,4000000,743.36
"1m","v4_percolumn_zstd","metric_name",1089,1002047,920.15
"1m","v4_percolumn_zstd","value",5438295,8000000,1.47
"1m","v4_percolumn_zstd","host",1818,1002375,551.36
"1m","v4_percolumn_zstd","region",1778,1002021,563.57
"1m","v4_percolumn_zstd","counter",10051,8000000,795.94
"1m","v5_aggressive","timestamp",5381,4000000,743.36
"1m","v5_aggressive","metric_name",1074,1002047,933
"1m","v5_aggressive","value",5438295,8000000,1.47
"1m","v5_aggressive","host",1612,1002375,621.82
"1m","v5_aggressive","region",1707,1002021,587.01
"1m","v5_aggressive","counter",9833,8000000,813.59
"10m","v1_default","timestamp",40172747,40000000,1
"10m","v1_default","metric_name",49317,10032959,203.44
"10m","v1_default","value",55125630,80000000,1.45
"10m","v1_default","host",50512,10033287,198.63
"10m","v1_default","region",50593,10032933,198.31
"10m","v1_default","counter",42016476,80000000,1.9
"10m","v2_zstd","timestamp",28556364,40000000,1.4
"10m","v2_zstd","metric_name",11375,10033167,882.04
"10m","v2_zstd","value",44057264,80000000,1.82
"10m","v2_zstd","host",12584,10033495,797.32
"10m","v2_zstd","region",12785,10033141,784.76
"10m","v2_zstd","counter",13998901,80000000,5.71
"10m","v3_percolumn","timestamp",48416,40000000,826.17
"10m","v3_percolumn","metric_name",49486,10032623,202.74
"10m","v3_percolumn","value",63298272,80000000,1.26
"10m","v3_percolumn","host",50664,10032951,198.03
"10m","v3_percolumn","region",50698,10032597,197.89
"10m","v3_percolumn","counter",3878301,80000000,20.63
"10m","v4_percolumn_zstd","timestamp",46558,40000000,859.14
"10m","v4_percolumn_zstd","metric_name",11157,10032207,899.18
"10m","v4_percolumn_zstd","value",54179431,80000000,1.48
"10m","v4_percolumn_zstd","host",12251,10032535,818.92
"10m","v4_percolumn_zstd","region",12502,10032181,802.45
"10m","v4_percolumn_zstd","counter",93489,80000000,855.72
"10m","v5_aggressive","timestamp",46558,40000000,859.14
"10m","v5_aggressive","metric_name",11105,10034543,903.61
"10m","v5_aggressive","value",54179431,80000000,1.48
"10m","v5_aggressive","host",11781,10034871,851.78
"10m","v5_aggressive","region",12075,10034517,831.02
"10m","v5_aggressive","counter",92199,80000000,867.69
"500m","v1_default","timestamp",2008636111,2000000000,1
"500m","v1_default","metric_name",2439601,501770639,205.68
"500m","v1_default","value",2756194580,4000000000,1.45
"500m","v1_default","host",2441027,501770967,205.56
"500m","v1_default","region",2459771,501770613,203.99
"500m","v1_default","counter",2100190151,4000000000,1.9
"500m","v2_zstd","timestamp",1425890316,2000000000,1.4
"500m","v2_zstd","metric_name",551565,501874623,909.91
"500m","v2_zstd","value",2202199548,4000000000,1.82
"500m","v2_zstd","host",552897,501874951,907.72
"500m","v2_zstd","region",574683,501874597,873.31
"500m","v2_zstd","counter",692869354,4000000000,5.77
"500m","v3_percolumn","timestamp",2382829,2000000000,839.34
"500m","v3_percolumn","metric_name",2391503,501380386,209.65
"500m","v3_percolumn","value",3164275870,4000000000,1.26
"500m","v3_percolumn","host",2393310,501381188,209.49
"500m","v3_percolumn","region",2406098,501380292,208.38
"500m","v3_percolumn","counter",193602860,4000000000,20.66
"500m","v4_percolumn_zstd","timestamp",2291223,2000000000,872.9
"500m","v4_percolumn_zstd","metric_name",493203,501411244,1016.64
"500m","v4_percolumn_zstd","value",2708123629,4000000000,1.48
"500m","v4_percolumn_zstd","host",494741,501412022,1013.48
"500m","v4_percolumn_zstd","region",515234,501411140,973.17
"500m","v4_percolumn_zstd","counter",4758632,4000000000,840.58
"500m","v5_aggressive","timestamp",2293401,2000000000,872.07
"500m","v5_aggressive","metric_name",467974,501268298,1071.15
"500m","v5_aggressive","value",2708142323,4000000000,1.48
"500m","v5_aggressive","host",469650,501269683,1067.33
"500m","v5_aggressive","region",481001,501267914,1042.13
"500m","v5_aggressive","counter",4752720,4000000000,841.62
