"column","variant","data_compressed_bytes","data_uncompressed_bytes","ratio"
"counter","v1_default",420052884,800000000,1.9
"host","v1_default",483543,100306951,207.44
"metric_name","v1_default",482493,100306623,207.89
"region","v1_default",485781,100306597,206.49
"timestamp","v1_default",401727295,400000000,1
"value","v1_default",551243705,800000000,1.45
"counter","v2_zstd",138571841,800000000,5.77
"host","v2_zstd",111780,100367479,897.9
"metric_name","v2_zstd",110481,100367151,908.46
"region","v2_zstd",115568,100367125,868.47
"timestamp","v2_zstd",285394799,400000000,1.4
"value","v2_zstd",440441744,800000000,1.82
"counter","v3_percolumn",38729312,800000000,20.66
"host","v3_percolumn",491850,100367415,204.06
"metric_name","v3_percolumn",490538,100367087,204.61
"region","v3_percolumn",494587,100367061,202.93
"timestamp","v3_percolumn",476874,400000000,838.8
"value","v3_percolumn",632873127,800000000,1.26
"counter","v4_percolumn_zstd",948789,800000000,843.18
"host","v4_percolumn_zstd",111812,100367367,897.64
"metric_name","v4_percolumn_zstd",110578,100367039,907.66
"region","v4_percolumn_zstd",115789,100367013,866.81
"timestamp","v4_percolumn_zstd",458532,400000000,872.35
"value","v4_percolumn_zstd",541658691,800000000,1.48
"counter","v5_aggressive",942673,800000000,848.65
"host","v5_aggressive",106144,100367239,945.58
"metric_name","v5_aggressive",105360,100366911,952.61
"region","v5_aggressive",109280,100366885,918.44
"timestamp","v5_aggressive",458532,400000000,872.35
"value","v5_aggressive",541658691,800000000,1.48
