variant,batch_size,run,elapsed_ms,rows_per_sec
v1_default,10000,1,71,140845
v1_default,10000,2,70,142857
v1_default,10000,3,67,149253
v1_default,10000,4,80,125000
v1_default,10000,5,76,131578
v1_default,10000,6,67,149253
v1_default,10000,7,69,144927
v1_default,10000,8,67,149253
v1_default,10000,9,67,149253
v1_default,10000,10,65,153846
v1_default,100000,1,81,1234567
v1_default,100000,2,79,1265822
v1_default,100000,3,80,1250000
v1_default,100000,4,85,1176470
v1_default,100000,5,73,1369863
v1_default,100000,6,78,1282051
v1_default,100000,7,80,1250000
v1_default,100000,8,91,1098901
v1_default,100000,9,81,1234567
v1_default,100000,10,79,1265822
v1_default,1000000,1,169,5917159
v1_default,1000000,2,178,5617977
v1_default,1000000,3,178,5617977
v1_default,1000000,4,186,5376344
v1_default,1000000,5,176,5681818
v1_default,1000000,6,189,5291005
v1_default,1000000,7,170,5882352
v1_default,1000000,8,177,5649717
v1_default,1000000,9,169,5917159
v1_default,1000000,10,162,6172839
v2_zstd,10000,1,76,131578
v2_zstd,10000,2,76,131578
v2_zstd,10000,3,66,151515
v2_zstd,10000,4,70,142857
v2_zstd,10000,5,68,147058
v2_zstd,10000,6,68,147058
v2_zstd,10000,7,66,151515
v2_zstd,10000,8,69,144927
v2_zstd,10000,9,73,136986
v2_zstd,10000,10,70,142857
v2_zstd,100000,1,84,1190476
v2_zstd,100000,2,100,1000000
v2_zstd,100000,3,90,1111111
v2_zstd,100000,4,81,1234567
v2_zstd,100000,5,92,1086956
v2_zstd,100000,6,81,1234567
v2_zstd,100000,7,79,1265822
v2_zstd,100000,8,78,1282051
v2_zstd,100000,9,93,1075268
v2_zstd,100000,10,82,1219512
v2_zstd,1000000,1,209,4784688
v2_zstd,1000000,2,215,4651162
v2_zstd,1000000,3,215,4651162
v2_zstd,1000000,4,215,4651162
v2_zstd,1000000,5,245,4081632
v2_zstd,1000000,6,210,4761904
v2_zstd,1000000,7,224,4464285
v2_zstd,1000000,8,216,4629629
v2_zstd,1000000,9,204,4901960
v2_zstd,1000000,10,219,4566210
v3_percolumn,10000,1,72,138888
v3_percolumn,10000,2,68,147058
v3_percolumn,10000,3,69,144927
v3_percolumn,10000,4,66,151515
v3_percolumn,10000,5,67,149253
v3_percolumn,10000,6,69,144927
v3_percolumn,10000,7,67,149253
v3_percolumn,10000,8,77,129870
v3_percolumn,10000,9,64,156250
v3_percolumn,10000,10,68,147058
v3_percolumn,100000,1,81,1234567
v3_percolumn,100000,2,77,1298701
v3_percolumn,100000,3,88,1136363
v3_percolumn,100000,4,81,1234567
v3_percolumn,100000,5,97,1030927
v3_percolumn,100000,6,81,1234567
v3_percolumn,100000,7,83,1204819
v3_percolumn,100000,8,86,1162790
v3_percolumn,100000,9,79,1265822
v3_percolumn,100000,10,91,1098901
v3_percolumn,1000000,1,215,4651162
v3_percolumn,1000000,2,244,4098360
