"query_start_time","query_duration_ms","read_rows","read_bytes","result_rows","result_bytes","memory_usage","real_time_us","user_time_us","system_time_us","disk_read_us","cpu_wait_us","query"
"2026-02-14 15:39:47",2,1,16,1,136,77408,2638,1391,108,0,0,"SELECT count() FROM exp01_compression.source"
"2026-02-14 15:44:30",0,0,0,0,0,7136,369,0,0,0,0,"SYSTEM STOP MERGES exp01_compression"
"2026-02-14 15:46:51",0,0,0,0,0,3072,347,0,0,0,0,"SYSTEM START MERGES exp01_compression"
"2026-02-14 15:54:10",0,0,0,0,0,3072,387,231,0,0,0,"SYSTEM STOP MERGES exp01_compression"
"2026-02-14 15:55:25",0,0,0,0,0,3072,418,0,0,0,0,"SYSTEM START MERGES exp01_compression"
"2026-02-14 16:13:42",0,0,0,0,0,3072,422,150,0,0,0,"SYSTEM STOP MERGES exp01_compression"
"2026-02-14 16:29:31",0,0,0,0,0,3072,511,187,0,0,0,"SYSTEM START MERGES exp01_compression"
"2026-02-14 17:13:01",3,15,705,15,5120,170538,3197,2847,5,0,0,"EXPLAIN indexes=1 SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT PrettyCompact"
"2026-02-14 17:13:01",3,15,712,15,5120,170634,3598,2901,292,0,0,"EXPLAIN indexes=1 SELECT sum(counter) FROM exp01_compression.v4_percolumn_zstd WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT PrettyCompact"
"2026-02-14 17:13:34",18,262144,3407987,1,136,2268332,281618,19850,10903,22700,18,"-- Q1: Range+Agg (counter sum, 1 metric, 1 day)
SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null
SETTINGS send_logs_level='none'
"
"2026-02-14 17:13:35",12,262144,3407987,1,136,3250636,145312,15385,6426,2796,95,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:35",20,262144,3407987,1,136,4202205,239436,15019,4084,836,22200,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:35",21,262144,3407987,1,136,2191459,153251,15196,6333,1122,24679,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:36",10,262144,3407987,1,136,2856295,105292,14423,5418,955,52,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:36",31,262144,3407987,1,136,2162138,383959,18610,2715,954,33362,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:36",20,262144,3407987,1,136,2263940,153311,17119,3635,1126,13403,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",9,262144,3407987,1,136,4202781,79004,18425,441,938,168,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",19,262144,3407987,1,136,3250540,149133,14819,3293,930,16485,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",10,262144,3407987,1,136,2201187,100680,18216,1785,951,0,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",10,262144,3407987,1,136,3216181,99203,17634,1945,934,316,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",10,262144,3407987,1,136,2201177,105583,17637,2518,933,34,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:37",18,262144,3407987,1,136,2249100,67113,12671,3130,858,18343,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",15,262144,3407987,1,136,1208761,66608,13950,3276,883,8058,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",9,262144,3407987,1,136,2155218,46436,11980,2388,785,6215,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",8,262144,3407987,1,136,2200729,60918,13633,3103,874,8,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",9,262144,3407987,1,136,3255220,92713,17709,108,900,139,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",15,262144,3407987,1,136,1208761,127899,14514,1836,810,11660,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",24,262144,3407987,1,136,2200569,99759,14513,1931,842,19518,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",6,262144,3407987,1,136,3143492,55886,11726,3570,876,206,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",8,262144,3407987,1,136,3144388,88212,12098,5870,988,212,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",14,262144,3407987,1,136,4202333,60016,13641,2277,1148,3817,"SELECT sum(counter) FROM exp01_compression.v1_default WHERE metric_name='cpu_usage' AND timestamp BETWEEN '2024-01-01' AND '2024-01-02' FORMAT Null"
"2026-02-14 17:13:38",467,100000000,900000000,5,2860,15392306,10475758,2223342,481343,2188303,1034268,"SELECT metric_name, sum(counter) AS total FROM exp01_compression.v1_default GROUP BY metric_name ORDER BY total DESC LIMIT 10 FORMAT Null"
"2026-02-14 17:13:39",274,100000000,900000000,5,2860,15376754,4801415,1788276,113410,214614,2241556,"SELECT metric_name, sum(counter) AS total FROM exp01_compression.v1_default GROUP BY metric_name ORDER BY total DESC LIMIT 10 FORMAT Null"
"2026-02-14 17:13:40",144,100000000,900000000,5,2860,15376754,2521704,1649146,93686,112902,386187,"SELECT metric_name, sum(counter) AS total FROM exp01_compression.v1_default GROUP BY metric_name ORDER BY total DESC LIMIT 10 FORMAT Null"
"2026-02-14 17:13:40",291,100000000,900000000,5,3072,15376754,5027617,1755350,119484,177582,2474256,"SELECT metric_name, sum(counter) AS total FROM exp01_compression.v1_default GROUP BY metric_name ORDER BY total DESC LIMIT 10 FORMAT Null"
"2026-02-14 17:13:40",176,100000000,900000000,5,3072,15376914,3068500,1701809,95116,106561,630055,"SELECT metric_name, sum(counter) AS total FROM exp01_compression.v1_default GROUP BY metric_name ORDER BY total DESC LIMIT 10 FORMAT Null"
