"database","table","column","type","compressed_bytes","uncompressed_bytes","marks_bytes","ratio","rows","part_name"
"exp01_compression","v1_default","counter","UInt64",420052884,800000000,34395,1.9,100000000,"all_1_95_3"
"exp01_compression","v1_default","host","LowCardinality(String)",483543,100306951,9166,207.44,100000000,"all_1_95_3"
"exp01_compression","v1_default","metric_name","LowCardinality(String)",482493,100306623,9165,207.89,100000000,"all_1_95_3"
"exp01_compression","v1_default","region","LowCardinality(String)",485781,100306597,9164,206.49,100000000,"all_1_95_3"
"exp01_compression","v1_default","timestamp","DateTime",401727295,400000000,32327,1,100000000,"all_1_95_3"
"exp01_compression","v1_default","value","Float64",551243705,800000000,35729,1.45,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","counter","UInt64",138571841,800000000,29026,5.77,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","host","LowCardinality(String)",111780,100367479,8571,897.9,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","metric_name","LowCardinality(String)",110481,100367151,8572,908.46,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","region","LowCardinality(String)",115568,100367125,8612,868.47,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","timestamp","DateTime",285394799,400000000,31625,1.4,100000000,"all_1_95_3"
"exp01_compression","v2_zstd","value","Float64",440441744,800000000,34236,1.82,100000000,"all_1_95_3"
"exp01_compression","v3_percolumn","counter","UInt64",38729312,800000000,26301,20.66,100000000,"all_1_94_3"
"exp01_compression","v3_percolumn","host","LowCardinality(String)",491850,100367415,9368,204.06,100000000,"all_1_94_3"
"exp01_compression","v3_percolumn","metric_name","LowCardinality(String)",490538,100367087,9382,204.61,100000000,"all_1_94_3"
"exp01_compression","v3_percolumn","region","LowCardinality(String)",494587,100367061,9376,202.93,100000000,"all_1_94_3"
"exp01_compression","v3_percolumn","timestamp","DateTime",476874,400000000,19867,838.8,100000000,"all_1_94_3"
"exp01_compression","v3_percolumn","value","Float64",632873127,800000000,36615,1.26,100000000,"all_1_94_3"
"exp01_compression","v4_percolumn_zstd","counter","UInt64",948789,800000000,19099,843.18,100000000,"all_1_95_3"
"exp01_compression","v4_percolumn_zstd","host","LowCardinality(String)",111812,100367367,8546,897.64,100000000,"all_1_95_3"
"exp01_compression","v4_percolumn_zstd","metric_name","LowCardinality(String)",110578,100367039,8553,907.66,100000000,"all_1_95_3"
"exp01_compression","v4_percolumn_zstd","region","LowCardinality(String)",115789,100367013,8553,866.81,100000000,"all_1_95_3"
"exp01_compression","v4_percolumn_zstd","timestamp","DateTime",458532,400000000,19685,872.35,100000000,"all_1_95_3"
"exp01_compression","v4_percolumn_zstd","value","Float64",541658691,800000000,35724,1.48,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","counter","UInt64",942673,800000000,19067,848.65,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","host","LowCardinality(String)",106144,100367239,8620,945.58,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","metric_name","LowCardinality(String)",105360,100366911,8603,952.61,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","region","LowCardinality(String)",109280,100366885,8566,918.44,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","timestamp","DateTime",458532,400000000,19685,872.35,100000000,"all_1_95_3"
"exp01_compression","v5_aggressive","value","Float64",541658691,800000000,35724,1.48,100000000,"all_1_95_3"
