query,variant,uses_projection,projection_name
Q1_day,base,True,
Q1_day,proj,True,
Q1_day,mv,True,
Q2_month,base,True,
Q2_month,proj,True,
Q2_month,mv,True,
Q3_country,base,True,
Q3_country,proj,True,proj_country_time
Q4_country_time,base,True,
Q4_country_time,proj,True,proj_country_time
Q5_topk,base,True,
Q5_topk,proj,True,proj_hourly_stats
Q5_topk,mv,True,
Q6_topk_having,base,True,
Q6_topk_having,proj,True,proj_hourly_stats
Q6_topk_having,mv,False,
Q7_cardinality,base,True,
Q7_cardinality,proj,True,
Q8_multidim,base,True,
Q8_multidim,proj,True,proj_country_time
