query,variant,run,cache,elapsed_s
Q1,base,1,cold,0.007
Q1,proj,1,cold,0.009
Q1,mv,1,cold,0.006
Q2,base,1,cold,0.006
Q2,proj,1,cold,0.010
Q2,mv,1,cold,0.007
Q3,base,1,cold,0.011
Q3,proj,1,cold,0.010
Q4,base,1,cold,0.009
Q4,proj,1,cold,0.010
Q5,base,1,cold,0.206
Q5,proj,1,cold,0.040
Q5,mv,1,cold,0.037
Q6,base,1,cold,0.178
Q6,proj,1,cold,0.043
Q6,mv,1,cold,0.047
Q7,base,1,cold,0.485
Q7,proj,1,cold,0.519
Q8,base,1,cold,1.540
Q8,proj,1,cold,1.438
Q1,base,2,cold,0.006
Q1,proj,2,cold,0.007
Q1,mv,2,cold,0.006
Q2,base,2,cold,0.007
Q2,proj,2,cold,0.011
Q2,mv,2,cold,0.006
Q3,base,2,cold,0.010
Q3,proj,2,cold,0.010
Q4,base,2,cold,0.012
Q4,proj,2,cold,0.011
Q5,base,2,cold,0.183
Q5,proj,2,cold,0.040
Q5,mv,2,cold,0.040
Q6,base,2,cold,0.183
Q6,proj,2,cold,0.038
Q6,mv,2,cold,0.039
Q7,base,2,cold,0.284
Q7,proj,2,cold,0.293
Q8,base,2,cold,1.250
Q8,proj,2,cold,1.252
Q1,base,3,cold,0.007
Q1,proj,3,cold,0.007
Q1,mv,3,cold,0.006
Q2,base,3,cold,0.008
Q2,proj,3,cold,0.010
Q2,mv,3,cold,0.006
Q3,base,3,cold,0.011
Q3,proj,3,cold,0.009
Q4,base,3,cold,0.013
Q4,proj,3,cold,0.012
Q5,base,3,cold,0.208
Q5,proj,3,cold,0.039
Q5,mv,3,cold,0.039
Q6,base,3,cold,0.179
Q6,proj,3,cold,0.045
Q6,mv,3,cold,0.046
Q7,base,3,cold,0.299
Q7,proj,3,cold,0.313
Q8,base,3,cold,1.317
Q8,proj,3,cold,1.272
Q1,base,4,cold,0.006
Q1,proj,4,cold,0.008
Q1,mv,4,cold,0.008
Q2,base,4,cold,0.007
Q2,proj,4,cold,0.011
Q2,mv,4,cold,0.007
Q3,base,4,cold,0.020
Q3,proj,4,cold,0.017
Q4,base,4,cold,0.014
Q4,proj,4,cold,0.012
Q5,base,4,cold,0.761
Q5,proj,4,cold,0.098
Q5,mv,4,cold,0.092
Q6,base,4,cold,0.815
Q6,proj,4,cold,0.098
Q6,mv,4,cold,0.103
Q7,base,4,cold,1.106
Q7,proj,4,cold,1.212
Q8,base,4,cold,4.757
Q8,proj,4,cold,4.680
Q1,base,5,cold,0.007
Q1,proj,5,cold,0.009
Q1,mv,5,cold,0.006
Q2,base,5,cold,0.006
Q2,proj,5,cold,0.009
Q2,mv,5,cold,0.007
Q3,base,5,cold,0.020
Q3,proj,5,cold,0.014
Q4,base,5,cold,0.014
Q4,proj,5,cold,0.011
Q5,base,5,cold,0.779
Q5,proj,5,cold,0.110
Q5,mv,5,cold,0.091
Q6,base,5,cold,0.763
Q6,proj,5,cold,0.100
Q6,mv,5,cold,0.106
Q7,base,5,cold,1.158
Q7,proj,5,cold,1.122
Q8,base,5,cold,4.386
Q8,proj,5,cold,4.574
