query,variant,size,run,elapsed_s
Q2,base,1M,1,0.040
Q2,proj,1M,1,0.014
Q3,base,1M,1,0.016
Q3,proj,1M,1,0.014
Q3,mv,1M,1,0.013
Q2,base,1M,2,0.021
Q2,proj,1M,2,0.005
Q3,base,1M,2,0.017
Q3,proj,1M,2,0.010
Q3,mv,1M,2,0.010
Q2,base,1M,3,0.007
Q2,proj,1M,3,0.015
Q3,base,1M,3,0.024
Q3,proj,1M,3,0.038
Q3,mv,1M,3,0.038
Q2,base,1M,4,0.019
Q2,proj,1M,4,0.013
Q3,base,1M,4,0.024
Q3,proj,1M,4,0.034
Q3,mv,1M,4,0.035
Q2,base,1M,5,0.007
Q2,proj,1M,5,0.005
Q3,base,1M,5,0.019
Q3,proj,1M,5,0.010
Q3,mv,1M,5,0.028
Q2,base,10M,1,0.021
Q2,proj,10M,1,0.014
Q3,base,10M,1,0.038
Q3,proj,10M,1,0.187
Q3,mv,10M,1,0.135
Q2,base,10M,2,0.036
Q2,proj,10M,2,0.016
Q3,base,10M,2,0.017
Q3,proj,10M,2,0.094
Q3,mv,10M,2,0.078
Q2,base,10M,3,0.022
Q2,proj,10M,3,0.020
Q3,base,10M,3,0.019
Q3,proj,10M,3,0.052
Q3,mv,10M,3,0.028
Q2,base,10M,4,0.008
Q2,proj,10M,4,0.006
Q3,base,10M,4,0.017
Q3,proj,10M,4,0.029
Q3,mv,10M,4,0.073
Q2,base,10M,5,0.023
Q2,proj,10M,5,0.014
Q3,base,10M,5,0.049
Q3,proj,10M,5,0.073
Q3,mv,10M,5,0.077
Q2,base,50M,1,0.048
Q2,proj,50M,1,0.028
Q3,base,50M,1,0.158
Q3,proj,50M,1,0.107
Q3,mv,50M,1,0.122
Q2,base,50M,2,0.009
Q2,proj,50M,2,0.008
Q3,base,50M,2,0.062
Q3,proj,50M,2,0.037
Q3,mv,50M,2,0.034
Q2,base,50M,3,0.009
Q2,proj,50M,3,0.017
Q3,base,50M,3,0.135
Q3,proj,50M,3,0.083
Q3,mv,50M,3,0.113
Q2,base,50M,4,0.036
Q2,proj,50M,4,0.020
Q3,base,50M,4,0.141
Q3,proj,50M,4,0.097
Q3,mv,50M,4,0.035
Q2,base,50M,5,0.008
Q2,proj,50M,5,0.009
Q3,base,50M,5,0.128
Q3,proj,50M,5,0.038
Q3,mv,50M,5,0.075
Q2,base,200M,1,0.008
Q2,proj,200M,1,0.033
Q3,base,200M,1,0.469
Q3,proj,200M,1,0.103
Q3,mv,200M,1,0.111
Q2,base,200M,2,0.044
Q2,proj,200M,2,0.036
Q3,base,200M,2,0.447
Q3,proj,200M,2,0.116
Q3,mv,200M,2,0.042
Q2,base,200M,3,0.010
Q2,proj,200M,3,0.017
Q3,base,200M,3,0.361
Q3,proj,200M,3,0.035
Q3,mv,200M,3,0.037
Q2,base,200M,4,0.008
Q2,proj,200M,4,0.033
Q3,base,200M,4,0.402
Q3,proj,200M,4,0.116
Q3,mv,200M,4,0.082
Q2,base,200M,5,0.029
Q2,proj,200M,5,0.022
Q3,base,200M,5,0.473
Q3,proj,200M,5,0.089
Q3,mv,200M,5,0.038
