query,variant,run,elapsed_ms,cache_state
Q3,proj,1,69,cold
Q3,mv,1,70,cold
Q5,proj,1,746,cold
Q5,mv,1,614,cold
Q3,proj,1,73,warm
Q3,mv,1,67,warm
Q5,proj,1,604,warm
Q5,mv,1,518,warm
Q3,proj,2,69,cold
Q3,mv,2,80,cold
Q5,proj,2,541,cold
Q5,mv,2,539,cold
Q3,proj,2,67,warm
Q3,mv,2,70,warm
Q5,proj,2,540,warm
Q5,mv,2,502,warm
Q3,proj,3,75,cold
Q3,mv,3,68,cold
Q5,proj,3,560,cold
Q5,mv,3,512,cold
Q3,proj,3,70,warm
Q3,mv,3,75,warm
Q5,proj,3,555,warm
Q5,mv,3,512,warm
Q3,proj,4,69,cold
Q3,mv,4,70,cold
Q5,proj,4,579,cold
Q5,mv,4,490,cold
Q3,proj,4,62,warm
Q3,mv,4,66,warm
Q5,proj,4,570,warm
Q5,mv,4,539,warm
Q3,proj,5,71,cold
Q3,mv,5,67,cold
Q5,proj,5,599,cold
Q5,mv,5,486,cold
Q3,proj,5,68,warm
Q3,mv,5,67,warm
Q5,proj,5,599,warm
Q5,mv,5,519,warm
Q3,proj,6,71,cold
Q3,mv,6,65,cold
Q5,proj,6,568,cold
Q5,mv,6,519,cold
Q3,proj,6,72,warm
Q3,mv,6,76,warm
Q5,proj,6,547,warm
Q5,mv,6,510,warm
Q3,proj,7,70,cold
Q3,mv,7,79,cold
Q5,proj,7,547,cold
Q5,mv,7,509,cold
Q3,proj,7,72,warm
Q3,mv,7,67,warm
Q5,proj,7,563,warm
Q5,mv,7,520,warm
Q3,proj,8,72,cold
Q3,mv,8,82,cold
Q5,proj,8,546,cold
Q5,mv,8,500,cold
Q3,proj,8,66,warm
Q3,mv,8,63,warm
Q5,proj,8,536,warm
Q5,mv,8,499,warm
Q3,proj,9,78,cold
Q3,mv,9,68,cold
Q5,proj,9,595,cold
Q5,mv,9,533,cold
Q3,proj,9,62,warm
Q3,mv,9,66,warm
Q5,proj,9,570,warm
Q5,mv,9,521,warm
Q3,proj,10,67,cold
Q3,mv,10,67,cold
Q5,proj,10,573,cold
Q5,mv,10,510,cold
Q3,proj,10,67,warm
Q3,mv,10,67,warm
Q5,proj,10,558,warm
Q5,mv,10,512,warm
