variant,batch_size,run,elapsed_ms,rows_per_sec
base,10000,1,77,129870
base,10000,2,65,153846
base,10000,3,68,147058
base,10000,4,68,147058
base,10000,5,65,153846
base,100000,1,81,1234567
base,100000,2,71,1408450
base,100000,3,75,1333333
base,100000,4,79,1265822
base,100000,5,78,1282051
base,1000000,1,168,5952380
base,1000000,2,168,5952380
base,1000000,3,166,6024096
base,1000000,4,170,5882352
base,1000000,5,163,6134969
base,10000000,1,1056,9469696
base,10000000,2,1070,9345794
base,10000000,3,1054,9487666
base,10000000,4,1125,8888888
base,10000000,5,1051,9514747
proj,10000,1,69,144927
proj,10000,2,73,136986
proj,10000,3,75,133333
proj,10000,4,70,142857
proj,10000,5,77,129870
proj,100000,1,94,1063829
proj,100000,2,87,1149425
proj,100000,3,92,1086956
proj,100000,4,89,1123595
proj,100000,5,85,1176470
proj,1000000,1,258,3875968
proj,1000000,2,282,3546099
proj,1000000,3,246,4065040
proj,1000000,4,245,4081632
proj,1000000,5,281,3558718
proj,10000000,1,2110,4739336
proj,10000000,2,2068,4835589
proj,10000000,3,2053,4870920
proj,10000000,4,2031,4923682
proj,10000000,5,2112,4734848
mv,10000,1,68,147058
mv,10000,2,70,142857
mv,10000,3,70,142857
mv,10000,4,78,128205
mv,10000,5,73,136986
mv,100000,1,94,1063829
mv,100000,2,94,1063829
mv,100000,3,92,1086956
mv,100000,4,90,1111111
mv,100000,5,95,1052631
mv,1000000,1,280,3571428
mv,1000000,2,276,3623188
mv,1000000,3,285,3508771
mv,1000000,4,281,3558718
mv,1000000,5,278,3597122
mv,10000000,1,1513,6609385
mv,10000000,2,1449,6901311
mv,10000000,3,1506,6640106
mv,10000000,4,1492,6702412
mv,10000000,5,1514,6605019
