query,variant,size,run,elapsed_ms,cache_state
Q3,base,10M,1,71,cold
Q3,proj,10M,1,74,cold
Q3,mv,10M,1,65,cold
Q2,base,10M,1,69,cold
Q2,proj,10M,1,70,cold
Q3,base,10M,1,72,warm
Q3,proj,10M,1,66,warm
Q3,mv,10M,1,67,warm
Q2,base,10M,1,65,warm
Q2,proj,10M,1,75,warm
Q3,base,10M,2,64,cold
Q3,proj,10M,2,67,cold
Q3,mv,10M,2,66,cold
Q2,base,10M,2,63,cold
Q2,proj,10M,2,66,cold
Q3,base,10M,2,70,warm
Q3,proj,10M,2,67,warm
Q3,mv,10M,2,73,warm
Q2,base,10M,2,73,warm
Q2,proj,10M,2,82,warm
Q3,base,10M,3,65,cold
Q3,proj,10M,3,69,cold
Q3,mv,10M,3,65,cold
Q2,base,10M,3,65,cold
Q2,proj,10M,3,66,cold
Q3,base,10M,3,67,warm
Q3,proj,10M,3,70,warm
Q3,mv,10M,3,65,warm
Q2,base,10M,3,68,warm
Q2,proj,10M,3,64,warm
Q3,base,10M,4,70,cold
Q3,proj,10M,4,68,cold
Q3,mv,10M,4,70,cold
Q2,base,10M,4,69,cold
Q2,proj,10M,4,75,cold
Q3,base,10M,4,66,warm
Q3,proj,10M,4,71,warm
Q3,mv,10M,4,65,warm
Q2,base,10M,4,66,warm
Q2,proj,10M,4,67,warm
Q3,base,10M,5,67,cold
Q3,proj,10M,5,70,cold
Q3,mv,10M,5,68,cold
Q2,base,10M,5,69,cold
Q2,proj,10M,5,71,cold
Q3,base,10M,5,68,warm
Q3,proj,10M,5,66,warm
Q3,mv,10M,5,71,warm
Q2,base,10M,5,67,warm
Q2,proj,10M,5,71,warm
Q3,base,10M,6,68,cold
Q3,proj,10M,6,76,cold
Q3,mv,10M,6,76,cold
Q2,base,10M,6,66,cold
Q2,proj,10M,6,66,cold
Q3,base,10M,6,67,warm
Q3,proj,10M,6,66,warm
Q3,mv,10M,6,69,warm
Q2,base,10M,6,72,warm
Q2,proj,10M,6,72,warm
Q3,base,10M,7,69,cold
Q3,proj,10M,7,71,cold
Q3,mv,10M,7,67,cold
Q2,base,10M,7,70,cold
Q2,proj,10M,7,67,cold
Q3,base,10M,7,75,warm
Q3,proj,10M,7,81,warm
Q3,mv,10M,7,68,warm
Q2,base,10M,7,73,warm
Q2,proj,10M,7,68,warm
Q3,base,10M,8,69,cold
Q3,proj,10M,8,70,cold
Q3,mv,10M,8,69,cold
Q2,base,10M,8,76,cold
Q2,proj,10M,8,69,cold
Q3,base,10M,8,73,warm
Q3,proj,10M,8,67,warm
Q3,mv,10M,8,67,warm
Q2,base,10M,8,70,warm
Q2,proj,10M,8,74,warm
Q3,base,10M,9,69,cold
Q3,proj,10M,9,81,cold
Q3,mv,10M,9,64,cold
Q2,base,10M,9,67,cold
Q2,proj,10M,9,67,cold
Q3,base,10M,9,68,warm
Q3,proj,10M,9,65,warm
Q3,mv,10M,9,66,warm
Q2,base,10M,9,67,warm
Q2,proj,10M,9,81,warm
Q3,base,10M,10,73,cold
Q3,proj,10M,10,67,cold
Q3,mv,10M,10,79,cold
Q2,base,10M,10,68,cold
Q2,proj,10M,10,66,cold
Q3,base,10M,10,67,warm
Q3,proj,10M,10,70,warm
Q3,mv,10M,10,67,warm
Q2,base,10M,10,67,warm
Q2,proj,10M,10,72,warm
