query,variant,size,run,cache,elapsed_ms,rows_read,bytes_read
Q3,base,10M,1,cold,38,10000000,50000000
Q3,proj,10M,1,cold,17,437916,17955789
Q3,mv,10M,1,cold,16,437930,17955130
Q3,base,10M,2,cold,33,10000000,50000000
Q3,proj,10M,2,cold,18,437916,17955789
Q3,mv,10M,2,cold,15,437930,17955130
Q3,base,10M,3,cold,37,10000000,50000000
Q3,proj,10M,3,cold,16,437916,17955789
Q3,mv,10M,3,cold,16,437930,17955130
Q3,base,10M,4,cold,32,10000000,50000000
Q3,proj,10M,4,cold,18,437916,17955789
Q3,mv,10M,4,cold,15,437930,17955130
Q3,base,10M,5,cold,35,10000000,50000000
Q3,proj,10M,5,cold,17,437916,17955789
Q3,mv,10M,5,cold,16,437930,17955130
Q3,base,10M,6,cold,39,10000000,50000000
Q3,proj,10M,6,cold,18,437916,17955789
Q3,mv,10M,6,cold,18,437930,17955130
Q3,base,10M,7,cold,35,10000000,50000000
Q3,proj,10M,7,cold,18,437916,17955789
Q3,mv,10M,7,cold,15,437930,17955130
Q3,base,10M,8,cold,38,10000000,50000000
Q3,proj,10M,8,cold,18,437916,17955789
Q3,mv,10M,8,cold,14,437930,17955130
Q3,base,10M,9,cold,33,10000000,50000000
Q3,proj,10M,9,cold,17,437916,17955789
Q3,mv,10M,9,cold,15,437930,17955130
Q3,base,10M,10,cold,37,10000000,50000000
Q3,proj,10M,10,cold,18,437916,17955789
Q3,mv,10M,10,cold,16,437930,17955130
Q3,base,10M,1,warm,18,10000000,50000000
Q3,proj,10M,1,warm,9,437916,17955789
Q3,mv,10M,1,warm,8,437930,17955130
Q3,base,10M,2,warm,15,10000000,50000000
Q3,proj,10M,2,warm,13,437916,17955789
Q3,mv,10M,2,warm,8,437930,17955130
Q3,base,10M,3,warm,17,10000000,50000000
Q3,proj,10M,3,warm,12,437916,17955789
Q3,mv,10M,3,warm,8,437930,17955130
Q3,base,10M,4,warm,15,10000000,50000000
Q3,proj,10M,4,warm,9,437916,17955789
Q3,mv,10M,4,warm,9,437930,17955130
Q3,base,10M,5,warm,19,10000000,50000000
