scenario,batch_size,rep,elapsed_s,rows_per_sec
base_only,1000000,1,0.389,2567770
base_only,1000000,2,0.401,2491897
base_only,1000000,3,0.38,2628190
base_only,1000000,4,0.398,2511696
base_only,1000000,5,0.399,2509217
base_only,1000000,6,0.379,2639046
base_only,1000000,7,0.387,2584442
base_only,1000000,8,0.377,2649538
base_only,1000000,9,0.411,2435800
base_only,1000000,10,0.409,2443776
base_proj,1000000,1,1.384,722424
base_proj,1000000,2,1.388,720301
base_proj,1000000,3,1.394,717394
base_proj,1000000,4,1.356,737239
base_proj,1000000,5,1.295,772020
base_proj,1000000,6,1.339,746636
base_proj,1000000,7,1.352,739509
base_proj,1000000,8,1.381,723966
base_proj,1000000,9,1.375,727150
base_proj,1000000,10,1.297,770843
base_mv,1000000,1,1.615,619356
base_mv,1000000,2,1.472,679577
base_mv,1000000,3,1.485,673588
base_mv,1000000,4,1.49,671244
base_mv,1000000,5,1.495,668755
base_mv,1000000,6,1.437,695718
base_mv,1000000,7,1.49,671353
base_mv,1000000,8,1.52,657781
base_mv,1000000,9,1.457,686145
base_mv,1000000,10,1.471,679776
base_only,10000000,1,3.344,2990775
base_only,10000000,2,3.316,3015672
base_only,10000000,3,3.342,2991811
base_only,10000000,4,3.399,2942013
base_only,10000000,5,3.231,3094820
base_only,10000000,6,3.335,2998663
base_only,10000000,7,3.337,2996670
base_only,10000000,8,3.333,3000490
base_only,10000000,9,3.305,3025507
base_only,10000000,10,3.29,3039070
base_proj,10000000,1,12.119,825138
base_proj,10000000,2,12.426,804781
base_proj,10000000,3,12.308,812498
base_proj,10000000,4,12.053,829677
base_proj,10000000,5,12.118,825218
base_proj,10000000,6,12.258,815773
base_proj,10000000,7,12.485,800941
base_proj,10000000,8,11.859,843263
base_proj,10000000,9,12.043,830386
base_proj,10000000,10,12.343,810198
base_mv,10000000,1,10.556,947353
base_mv,10000000,2,10.556,947366
base_mv,10000000,3,10.783,927384
base_mv,10000000,4,10.779,927691
base_mv,10000000,5,10.605,942986
base_mv,10000000,6,10.671,937148
base_mv,10000000,7,10.789,926849
base_mv,10000000,8,10.841,922422
base_mv,10000000,9,11.05,904986
base_mv,10000000,10,10.713,933463
