model,question_id,run,failure_type,rule
claude-opus-4.6,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t4_04,1,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t4_04,2,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t4_04,3,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t4_10,1,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t4_10,2,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t4_10,3,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_06,1,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t5_06,2,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t5_06,3,format_mismatch,identical after normalization/sorting
claude-opus-4.6,t5_07,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t5_07,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t5_07,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4.6,t5_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4.6,t5_10,1,logic_error,empty result
claude-opus-4.6,t5_10,2,logic_error,empty result
claude-opus-4.6,t5_10,3,logic_error,empty result
claude-opus-4,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
