model,question_id,run,failure_type,brief_explanation
claude-opus-4.6,t3_03,1,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4.6,t3_03,2,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4.6,t3_03,3,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4.6,t3_04,1,column_mismatch,Returns only source value without event_id column
claude-opus-4.6,t3_04,2,column_mismatch,Returns only source value without event_id column
claude-opus-4.6,t3_04,3,column_mismatch,Returns only source value without event_id column
claude-opus-4.6,t3_06,1,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4.6,t3_06,2,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4.6,t3_06,3,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4.6,t3_10,1,format_mismatch,Correct filter logic but missing ORDER BY timestamp LIMIT 100; different row ordering
claude-opus-4.6,t3_10,2,format_mismatch,Correct filter logic but missing ORDER BY timestamp LIMIT 100; different row ordering
claude-opus-4.6,t3_10,3,format_mismatch,Correct filter logic but missing ORDER BY timestamp LIMIT 100; different row ordering
claude-opus-4.6,t4_01,1,column_mismatch,"Returns all event columns plus plan instead of just event_id, timestamp, event_type, plan"
claude-opus-4.6,t4_01,2,column_mismatch,"Returns all event columns plus plan instead of just event_id, timestamp, event_type, plan"
claude-opus-4.6,t4_01,3,column_mismatch,"Returns all event columns plus plan instead of just event_id, timestamp, event_type, plan"
claude-opus-4.6,t4_04,1,format_mismatch,Correct logic and results but different column aliases or ordering; cnt vs event_count
claude-opus-4.6,t4_04,2,format_mismatch,Correct logic and results but different column aliases or ordering; cnt vs event_count
claude-opus-4.6,t4_04,3,format_mismatch,Correct logic and results but different column aliases or ordering; cnt vs event_count
claude-opus-4.6,t4_06,1,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter logic but different row ordering
claude-opus-4.6,t4_06,2,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter logic but different row ordering
claude-opus-4.6,t4_06,3,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter logic but different row ordering
claude-opus-4.6,t4_10,1,format_mismatch,Correct results via different approach (window function vs IN subquery); row order may differ
claude-opus-4.6,t4_10,2,format_mismatch,Correct results via different approach (window function vs IN subquery); row order may differ
claude-opus-4.6,t4_10,3,format_mismatch,Correct results via different approach (window function vs IN subquery); row order may differ
claude-opus-4.6,t5_01,1,column_mismatch,"Returns all columns plus row number instead of just user_id, event_id, timestamp, rn"
claude-opus-4.6,t5_01,2,column_mismatch,"Returns all columns plus row number instead of just user_id, event_id, timestamp, rn"
claude-opus-4.6,t5_01,3,column_mismatch,"Returns all columns plus row number instead of just user_id, event_id, timestamp, rn"
claude-opus-4.6,t5_04,1,column_mismatch,"Returns extra columns (timestamp, user_id, event_type) beyond required event_id and upper_tags"
claude-opus-4.6,t5_04,2,column_mismatch,"Returns extra columns (timestamp, user_id, event_type) beyond required event_id and upper_tags"
claude-opus-4.6,t5_04,3,column_mismatch,"Returns extra columns (timestamp, user_id, event_type) beyond required event_id and upper_tags"
claude-opus-4.6,t5_06,1,format_mismatch,Correct WITH FILL logic but comparison fails on exact output format
claude-opus-4.6,t5_06,2,format_mismatch,Correct WITH FILL logic but comparison fails on exact output format
claude-opus-4.6,t5_06,3,format_mismatch,Correct WITH FILL logic but comparison fails on exact output format
claude-opus-4.6,t5_07,1,logic_error,Uses groupArray without DISTINCT or groupUniqArray; returns duplicate event types in array
claude-opus-4.6,t5_07,2,logic_error,Uses groupArray without DISTINCT or groupUniqArray; returns duplicate event types in array
claude-opus-4.6,t5_07,3,logic_error,Uses groupArray without DISTINCT or groupUniqArray; returns duplicate event types in array
claude-opus-4.6,t5_08,1,column_mismatch,"Returns extra argMax columns beyond required user_id, last_event_id, last_event_time"
claude-opus-4.6,t5_08,2,column_mismatch,"Returns extra argMax columns beyond required user_id, last_event_id, last_event_time"
claude-opus-4.6,t5_08,3,column_mismatch,"Returns extra argMax columns beyond required user_id, last_event_id, last_event_time"
claude-opus-4.6,t5_10,1,logic_error,Filters for exact tag premium instead of LIKE %premium%; misses premium_user etc.
claude-opus-4.6,t5_10,2,logic_error,Filters for exact tag premium instead of LIKE %premium%; misses premium_user etc.
claude-opus-4.6,t5_10,3,logic_error,Filters for exact tag premium instead of LIKE %premium%; misses premium_user etc.
claude-opus-4,t3_03,1,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4,t3_03,2,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4,t3_03,3,format_mismatch,Missing ORDER BY timestamp or different LIMIT; correct filter logic but different row ordering
claude-opus-4,t3_04,1,column_mismatch,Returns only source value without event_id column
claude-opus-4,t3_04,2,column_mismatch,Returns only source value without event_id column
claude-opus-4,t3_04,3,column_mismatch,Returns only source value without event_id column
claude-opus-4,t3_06,1,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4,t3_06,2,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4,t3_06,3,format_mismatch,Missing ORDER BY timestamp LIMIT 100; correct filter but different row ordering
claude-opus-4,t3_10,1,format_mismatch,Correct filter logic but missing ORDER BY timestamp LIMIT 100; different row ordering
claude-opus-4,t3_10,2,format_mismatch,Correct filter logic but missing ORDER BY timestamp LIMIT 100; different row ordering
