model,question_id,tier,run,score,error_type,error_msg,llm_sql,reference_sql,tokens_in,tokens_out,cost_usd,latency_ms
claude-opus-4.6,t6_01,6,1,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT
    countIf(level >= 1) AS users_l1,
    countIf(level >= 2) AS users_l2,
    countIf(level >= 3) AS users_l3
FROM
(
    SELECT
        user_id,
        windowFunnel(86400)(timestamp, event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",518,124,0.01707,3960.9
claude-opus-4.6,t6_01,6,2,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT
    countIf(level >= 1) AS users_l1,
    countIf(level >= 2) AS users_l2,
    countIf(level >= 3) AS users_l3
FROM
(
    SELECT
        user_id,
        windowFunnel(86400)(timestamp, event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",518,124,0.01707,3889.3
claude-opus-4.6,t6_01,6,3,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT
    countIf(level >= 1) AS users_l1,
    countIf(level >= 2) AS users_l2,
    countIf(level >= 3) AS users_l3
FROM
(
    SELECT
        user_id,
        windowFunnel(86400)(timestamp, event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",518,124,0.01707,8644.4
claude-opus-4.6,t6_02,6,1,3,,,"SELECT
    sum(r[1]) AS r1,
    sum(r[2]) AS r2,
    sum(r[3]) AS r3
FROM
(
    SELECT
        user_id,
        retention(
            toDate(timestamp) = '2024-01-01',
            toDate(timestamp) = '2024-01-02',
            toDate(timestamp) = '2024-01-03'
        ) AS r
    FROM events
    GROUP BY user_id
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",505,127,0.0171,3727.9
claude-opus-4.6,t6_02,6,2,3,,,"SELECT
    sum(r[1]) AS r1,
    sum(r[2]) AS r2,
    sum(r[3]) AS r3
FROM
(
    SELECT
        user_id,
        retention(
            toDate(timestamp) = '2024-01-01',
            toDate(timestamp) = '2024-01-02',
            toDate(timestamp) = '2024-01-03'
        ) AS r
    FROM events
    GROUP BY user_id
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",505,127,0.0171,3927.8
claude-opus-4.6,t6_02,6,3,3,,,"SELECT
    sum(r[1]) AS r1,
    sum(r[2]) AS r2,
    sum(r[3]) AS r3
FROM
(
    SELECT
        user_id,
        retention(
            toDate(timestamp) = '2024-01-01',
            toDate(timestamp) = '2024-01-02',
            toDate(timestamp) = '2024-01-03'
        ) AS r
    FROM events
    GROUP BY user_id
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",505,127,0.0171,4464.9
claude-opus-4.6,t6_03,6,1,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT countIf(matched = 1) AS user_count
FROM (
    SELECT
        user_id,
        sequenceMatch('(?1)(?2)')(
            timestamp,
            event_type = 'signup',
            event_type = 'purchase'
        ) AS matched
    FROM events
    WHERE event_type IN ('signup', 'purchase')
    GROUP BY user_id
    HAVING matched = 1
       AND min(if(event_type = 'purchase', timestamp, NULL)) - min(if(event_type = 'signup', timestamp, NULL)) <= 60
)","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",473,285,0.02847,6842.4
claude-opus-4.6,t6_03,6,2,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT countIf(matched = 1) AS user_count
FROM (
    SELECT
        user_id,
        sequenceMatch('(?1)(?2)')(
            timestamp,
            event_type = 'signup',
            event_type = 'purchase'
        ) AS matched
    FROM events
    WHERE event_type IN ('signup', 'purchase')
    GROUP BY user_id
    HAVING matched = 1
       AND min(if(event_type = 'purchase', timestamp, NULL)) - min(if(event_type = 'signup', timestamp, NULL)) <= 60
)","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",473,285,0.02847,6266.9
claude-opus-4.6,t6_03,6,3,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT countIf(matched = 1) AS user_count
FROM (
    SELECT
        user_id,
        sequenceMatch('(?1)(?2)')(
            timestamp,
            event_type = 'signup',
            event_type = 'purchase'
        ) AS matched
    FROM events
    WHERE event_type IN ('signup', 'purchase')
    GROUP BY user_id
    HAVING matched = 1
       AND min(if(event_type = 'purchase', timestamp, NULL)) - min(if(event_type = 'signup', timestamp, NULL)) <= 60
)","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",473,285,0.02847,7140.0
claude-opus-4.6,t6_04,6,1,3,,,"SELECT
    u.user_id,
    e.timestamp AS first_event_time
FROM users AS u
ASOF LEFT JOIN events AS e
ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",495,90,0.014175,7150.1
